,open,high,low,close,volume,symbol,date,ema20,ema50,ema200,ema20_ema50,ema50_ema200,ema20_price,ema50_price,ema200_price,rsi,atr,vol_by_avg_vol,price_change_pct,high_low_pct,close_position_in_range,gap_pct,fib_pivot_distance_pct,fib_r1_distance_pct,fib_r2_distance_pct,fib_s1_distance_pct,fib_s2_distance_pct,body,range,upper_shadow,lower_shadow,is_bullish,is_bearish,body_to_range,upper_shadow_to_range,lower_shadow_to_range,is_doji,is_hammer,is_shooting_star,bb_position,nearest_support,support_strength,support_distance_pct,nearest_resistance,resistance_strength,resistance_distance_pct,target_hit,max_return,min_return,risk_reward_ratio
749,1119.7,1119.7,1069.0,1077.9,10.51171,NSE:360ONE-EQ,2025-07-25,1163.1985275767233,1125.312369672571,1039.805400829083,1.0336672366937332,1.0822336263836574,1.0791339897733772,1.043985870370694,0.964658503413195,14.68334005647435,38.51428571428572,0.6618480549120359,-3.6384766672626334,4.703590314500421,0.17554240631163873,0.09833720722332705,-5.864646770456095,-10.629073815736412,-13.338835425311018,-0.5636234754595584,3.0204682494848303,41.799999999999955,50.700000000000045,0.0,8.900000000000091,0,1,0.8244575935257463,0.0,0.17554240627701498,0,0,0,0.0,1054.5,29,2.1708878374617395,1099.8,43,2.031728360701351,,,,
1498,1070.0,1076.3,1030.0,1043.2,1.57736,NSE:63MOONS-EQ,2025-07-25,1038.6376470972696,959.4770828448382,771.2299106283888,1.0825038613926257,1.244086970204602,0.9956265788892538,0.9197441361626132,0.7392924756790537,58.16798941798944,49.850000000000044,0.39007831637790813,-1.9364542207181714,4.43826687116564,0.2850971922246233,0.5828163188569323,-2.2781774580335674,-5.2516145462749435,-6.99984826854078,0.8879337373621876,2.9485807760499405,26.799999999999955,46.299999999999955,6.2999999999999545,13.200000000000045,0,1,0.5788336931795172,0.1360691144414529,0.28509719216304724,0,0,0,0.4614423019578755,909.0,5,12.864263803680986,1078.8,7,3.4125766871165557,,,,
1798,511.75,512.65,494.95,496.4,6.28033,NSE:AADHARHFC-EQ,2025-07-25,484.4761104217423,465.4772638134244,435.31817876450157,1.0408158423306646,1.0692805550517528,0.9759792715989974,0.9377060109053674,0.8769504004119694,69.55082742316782,16.646428571428565,0.9326017684586123,-2.9900332225913644,3.5656728444802557,0.08192090395480167,0.009771350400627588,-3.201903201903216,-5.757237935255771,-7.269586217615366,-0.5041337686244175,1.2390154444563966,15.350000000000023,17.69999999999999,0.8999999999999773,1.4499999999999886,0,1,0.8672316379281195,0.05084745759839001,0.08192090390851867,0,0,0,0.6649357772974249,486.95,3,1.9037066881547118,516.8,5,4.109589041095886,,,,
2548,538.0,551.75,532.5,537.75,4.58104,NSE:AARTIDRUGS-EQ,2025-07-25,507.12879627839413,475.3058593725583,447.60357555893455,1.0669525449314776,1.061890220110577,0.9430568038649821,0.8838788644770958,0.8323636923457639,67.48786860768948,22.360714285714273,0.8724779731231898,-0.16708437761068917,3.5797303579730357,0.2727272727272727,-0.12067205049660769,-0.08423086689663674,-3.643957659366135,-5.719133192259252,3.7486027781924176,6.2670520495461055,0.25,19.25,13.75,5.25,0,1,0.012987012980266487,0.7142857139146568,0.2727272725855962,1,0,0,0.8095369076517752,530.0,44,1.4411901441190145,538.95,52,0.2231520223152107,,,,
3298,433.7,434.6,424.35,430.25,14.92835,NSE:AARTIIND-EQ,2025-07-25,447.79415932763743,452.5010113992673,469.5930749099746,0.9895981402183502,0.9636023944476099,1.040776663167083,1.051716470422469,1.0914423588843105,29.401805869074508,11.292857142857132,1.1172390341832703,-0.7954807470601772,2.3823358512492736,0.5756097560975587,0.0,-0.47113797942723734,-3.09991680443758,-4.655697559821122,2.3042491514077437,4.097594226569588,3.4499999999999886,10.25,0.9000000000000341,5.899999999999977,0,1,0.33658536552528145,0.08780487796312052,0.5756097555359883,0,0,0,0.1868252197117141,422.6,25,1.7780360255665257,433.35,20,0.7205113306217368,,,,
3916,946.8,947.8,929.45,944.15,1.86228,NSE:AARTIPHARM-EQ,2025-07-25,927.3576572219358,888.9430922274856,760.9135862488962,1.0432137504980123,1.1682576159662772,0.9822143274076532,0.9415273973706356,0.8059244677740784,67.16190476190474,26.00714285714285,0.5578392305827746,0.5591649802960912,1.9435471058624063,0.8010899182561311,0.8414101608264967,-0.14454178491478603,-1.9470050988457506,-3.028408641562379,1.725430226256418,2.916110897745896,2.6499999999999773,18.34999999999991,1.0,14.699999999999932,0,1,0.14441416885862934,0.05449591277684173,0.8010899178195697,0,1,0,0.689702024127475,838.65,6,11.174071916538686,949.5,11,0.5666472488481727,,,,
4666,266.8,266.8,256.5,260.35,89.2746,NSE:ABCAPITAL-EQ,2025-07-25,267.2165888852932,252.10287735716614,215.85555534999358,1.0599505713166246,1.1679239709554856,1.0263744531795398,0.9683229397240872,0.8290975815248456,30.370370370370352,6.246428571428579,1.5056344339508803,-3.912160915298013,3.956212790474366,0.37378640776699207,-1.5316479055176149,-2.142454425859796,-4.507600696157371,-5.912496995957869,0.3428267501218868,1.9423273078963794,6.449999999999989,10.300000000000011,0.0,3.8500000000000227,0,1,0.6262135916250335,0.0,0.37378640740409264,0,0,0,0.0,243.7,4,6.395237180718276,273.75,16,5.146917610908383,,,,
4933,472.5,474.65,457.15,459.75,3.94597,NSE:ABDL-EQ,2025-07-25,460.47165382600565,431.5275532080032,378.27026597291547,1.0670735863859218,1.140791629757389,1.0015696657444386,0.9386134925677069,0.8227738248459282,60.0557546794106,17.49642857142857,0.6887835957800321,-2.326322498406626,3.8064165307232187,0.14857142857142988,0.3824091778202701,-2.5134116948565453,-4.743283754028334,-6.070632704949211,-0.17663867728417978,1.3238473985354837,12.75,17.5,2.1499999999999773,2.6000000000000227,0,1,0.728571428155102,0.12285714278693748,0.1485714284865319,0,0,0,0.5199275409969614,454.8,1,1.0766721044045653,505.9,3,10.038064165307228,,,,
4958,149.77,150.35,145.2,145.78,19.68935,NSE:ABLBL-EQ,2025-07-25,154.70918068296342,156.68114700457514,158.06838802011393,0.9874141442074449,0.991223792227436,1.0612510679308782,1.0747780697254434,1.08429405967975,19.90472949982987,4.325714285714286,0.6846034424819409,-2.6640849302263527,3.532720537796684,0.11262135922330327,0.0,-3.0688008936447444,-5.469840871854497,-6.894657736637955,-0.5426106257078261,1.0849516694942392,3.990000000000009,5.150000000000006,0.5799999999999841,0.5800000000000125,0,1,0.7747572800490159,0.1126213590046155,0.11262135900462103,0,0,0,0.0,138.49099999999999,1,5.000000000000011,151.0,2,3.5807380985045953,,,,
5708,880.0,880.0,849.05,852.1,3.1311,NSE:ABSLAMC-EQ,2025-07-25,843.9108338367778,794.6494326757291,722.490166334463,1.0619913626505422,1.099875776451553,0.9903894306264261,0.9325776700806585,0.8478936349424515,62.42500789390591,24.375,0.8273565710492158,-2.678316486779731,3.6322027930994065,0.09854604200323308,0.5082519559134311,-2.7334921275122257,-4.898180821955317,-6.188030263507292,-0.4679637122930223,0.9851932628184444,27.899999999999977,30.950000000000045,0.0,3.050000000000068,0,1,0.9014539577055055,0.0,0.09854604197139268,0,0,0,0.5728665587768171,822.0,15,3.5324492430465932,858.65,15,0.7686891209951829,,,,
