,open,high,low,close,volume,symbol,date,ema20,ema50,ema200,ema20_ema50,ema50_ema200,ema20_price,ema50_price,ema200_price,rsi,atr,atr_pct,vol_by_avg_vol,price_change_pct,high_low_pct,close_position_in_range,gap_pct,fib_pivot_distance_pct,fib_r1_distance_pct,fib_r2_distance_pct,fib_s1_distance_pct,fib_s2_distance_pct,macd_ls_signal,body,range,upper_shadow,lower_shadow,is_bullish,is_bearish,body_to_range,upper_shadow_to_range,lower_shadow_to_range,is_doji,is_hammer,is_shooting_star,range_pct,close_below_1/2,strong_rejection,bb_position,nearest_support,support_strength,support_distance_pct,nearest_resistance,resistance_strength,resistance_distance_pct,target_hit,max_return,min_return,risk_reward_ratio
1363,273.99,283.4,269.0,278.25,17.49832,NSE:ACMESOLAR-EQ,2025-07-31,276.2157697761173,261.4309658329279,232.11547278832342,1.0565533768965913,1.1262970223072488,0.9926891995547793,0.9395542347993814,0.834197566175466,40.592755214050484,13.415714285714277,0.048214606597355894,0.9277470866660368,-0.23663547380876446,5.175202156334223,0.6423611111111122,-1.7640098956652739,-2.249519883835319,-6.651578534946768,-9.178400886179455,2.588264743128799,5.823903649145403,0,4.259999999999991,14.399999999999977,5.149999999999977,4.990000000000009,1,0,0.29583333312789334,0.3576388886405275,0.34652777753713465,0,0,0,0.051752021563342236,False,1,0.504444911757403,268.79,2,3.3998203054806755,303.69,3,9.142857142857142,,,,
1487,1177.3,1350.0,1171.2,1327.4,21.01738,NSE:ACUTAAS-EQ,2025-07-31,1181.900357841404,1158.9681335650907,1164.4724640501458,1.0197867599739534,0.9952731123706348,0.8903874927236732,0.873111446109003,0.8772581467908285,75.57942340305252,53.19285714285714,0.0400729675627973,5.70088413778894,8.776530361386556,13.469941238511371,0.8736017897091727,-3.523723674506269,8.233132569415776,1.1447424900879732,-2.7885256186484115,16.38993052612507,22.07361447888345,1,150.10000000000014,178.79999999999995,22.59999999999991,6.099999999999909,1,0,0.8394854585660252,0.126398210283758,0.03411633109428829,0,0,0,0.1346994123851137,False,1,1.0,1276.83,1,3.809703179147217,1393.7700000000002,1,5.000000000000009,,,,
1611,812.05,821.45,806.55,808.4,10.26102,NSE:ADANIENSOL-EQ,2025-07-31,849.9827364301876,859.57006101323,819.0917338149453,0.9888463721366224,1.0494185517045271,1.0514383181966696,1.0632979478144855,1.0132257964064144,18.782691393247745,18.84285714285715,0.023308828726938582,0.40212908457187296,-1.8812962738196386,1.8431469569520151,0.12416107382550412,-1.4382813448234035,-2.0327042399172943,-4.523334954399998,-5.9997413171176,0.5913495504186128,2.283923419319648,0,3.6499999999999773,14.900000000000091,9.400000000000091,1.8500000000000227,0,1,0.2449664427886101,0.6308724827980744,0.12416107374217454,0,0,0,0.018431469569520152,True,1,0.012905966190325566,806.1,14,0.28451261751607554,817.8,6,1.1627906976744158,,,,
1735,2509.9,2520.0,2422.6,2430.7,14.57616,NSE:ADANIENT-EQ,2025-07-31,2558.521012740568,2535.502480637165,2407.1578206792146,1.0090784892853344,1.0533179249218216,1.0525860915541072,1.0431161725581788,0.9903146503802258,33.80566801619432,49.75714285714288,0.020470293683771294,1.8121039857794166,-4.03490070669984,4.007076150903036,0.08316221765913656,-0.908050061194678,-3.4974418967812775,-6.261116235341753,-7.890786547328194,-0.5658559722447964,1.3359936399889905,0,79.20000000000027,97.40000000000009,10.099999999999909,8.099999999999909,0,1,0.8131416836947514,0.10369609855198089,0.08316221765059835,0,0,0,0.04007076150903036,True,1,0.0,2233.0,14,8.133459497264155,2441.1,14,0.42786028716008107,,,,
1859,985.5,1007.5,980.1,984.7,20.6225,NSE:ADANIGREEN-EQ,2025-07-31,1009.358002192806,998.377037730816,976.5123114240992,1.010998815123942,1.022390630462027,1.0250411315048298,1.0138895478123449,0.9916850933523906,47.92408066429419,27.357142857142833,0.02778221068055533,0.9038318842980184,-2.475982965237199,2.78257337260079,0.16788321167883308,-2.3967515103496133,-1.3807562110660765,-3.286288758246493,-4.427163119580733,0.6013742486227411,1.8662548935699221,0,0.7999999999999545,27.399999999999977,22.0,4.600000000000023,0,1,0.0291970802813133,0.8029197077361613,0.16788321161756184,1,0,0,0.027825733726007898,True,1,0.17461109490105328,981.3,32,0.34528282725704185,1003.5,25,1.9092109271859403,,,,
1983,1382.1,1395.8,1370.3,1373.1,14.12892,NSE:ADANIPORTS-EQ,2025-07-31,1413.297544756965,1397.799316861204,1261.2118646845154,1.011087591551098,1.108298578534904,1.0292750307748635,1.0179879956748992,0.9185142121364179,32.068543451652374,23.91428571428571,0.01741627391616467,0.7667693803727006,-1.4992826398852288,1.857111645182434,0.10980392156862567,-0.8536585365853724,-1.3119121430932952,-2.5533100317313817,-3.3047598855760167,-0.03847716617030362,0.7648076542604536,0,9.0,25.5,13.700000000000045,2.7999999999999545,0,1,0.3529411763321799,0.5372549017500979,0.1098039215255653,0,0,0,0.01857111645182434,True,1,0.0,1331.6,7,3.0223581676498434,1424.9,22,3.7724856164882516,,,,
2107,580.0,591.9,577.3,588.1,25.46236,NSE:ADANIPOWER-EQ,2025-07-31,587.496403404531,575.8699165460814,541.5463394070596,1.0201894325860643,1.0633806835008852,0.9989736497271399,0.9792040750656035,0.9208405703231756,39.57922419460878,14.153571428571427,0.024066606748123495,0.5167768935938947,-0.27132440223843013,2.482570991328009,0.7397260273972638,-1.644904188570467,1.0770552850186166,-1.5913278549921546,-3.1705803651253293,3.8941797471184008,5.714452459294556,1,8.100000000000023,14.600000000000023,3.7999999999999545,2.7000000000000455,1,0,0.5547945201679496,0.26027397242446637,0.18493150672265246,0,0,0,0.024825709913280092,False,0,0.36322122120464373,573.0,10,2.5675905458255435,610.6,15,3.82587995238905,,,,
2231,348.0,358.9,337.65,350.7,11.51618,NSE:ADVENZYMES-EQ,2025-07-31,335.2562300050858,325.02048519042876,315.81589309822164,1.0314926144075502,1.029145436608361,0.9559630168379978,0.9267764048771849,0.9005300630117526,62.42341729067394,12.224999999999982,0.03485885372112912,2.9889038031830863,0.602409638554207,6.05930995152552,0.6141176470588241,-0.17211703958692562,2.5338660949225282,-1.5033540911823735,-3.842445284514298,6.9161899423378275,9.815875486478792,1,2.6999999999999886,21.25,8.199999999999989,10.350000000000023,1,0,0.12705882346961883,0.3858823527595842,0.48705882330020867,0,0,0,0.060593099515255204,False,1,0.9970154814233759,345.15,3,1.5825491873396098,350.9,7,0.05702879954376636,,,,
2355,722.95,729.8,716.3,719.7,3.02843,NSE:AEGISLOG-EQ,2025-07-31,744.9628356893913,763.9811300952974,754.7289969466053,0.9751063296504014,1.0122588812489295,1.0351018975814803,1.0615272059125989,1.0486716645082748,39.642082429501116,15.625,0.021710434903431983,0.5213086500849331,-0.4219993081978491,1.8757815756565235,0.2518518518518586,0.02767208578347222,-1.706736350434082,-3.5509346526871037,-4.65609536174492,0.20936242553162948,1.430917727832823,0,3.25,13.5,6.849999999999909,3.400000000000091,0,1,0.24074074056241426,0.5074074070315433,0.25185185166530166,0,0,0,0.018757815756565235,False,0,0.0,704.1,2,2.1675698207586525,723.3,4,0.5002084201750603,,,,
2479,192.99,193.64,187.0,189.03,11.43361,NSE:AEROFLEX-EQ,2025-07-31,201.4183521220184,194.56368004847567,202.8787270729596,1.0352309951776966,0.9590146924497724,1.065536434015862,1.0292740837352572,1.073262059318413,44.5275403608737,10.89357142857143,0.05762879663847765,0.20808999374762335,-2.082362082362087,3.5126699465693205,0.30572289156626586,-0.031080031080032256,-4.58555987778123,-9.082149598173226,-11.654339443691391,0.3789544934224976,3.7127856838351883,0,3.960000000000008,6.639999999999986,0.6499999999999773,2.030000000000001,0,1,0.5963855412705061,0.09789156611762996,0.30572289110583983,0,0,0,0.035126699465693204,False,0,0.0872718592521835,186.25,6,1.4706660318467975,192.25,4,1.703433317462836,,,,
