symbol,date,close,prediction,probability,confidence,strong_rejection
NSE:ANANDRATHI-EQ,2025-07-31,2645.6,1.0,0.7,0.7,0
NSE:RALLIS-EQ,2025-07-31,376.45,1.0,0.64,0.64,0
