,open,high,low,close,volume,symbol,date,ema20,ema50,ema200,ema20_ema50,ema50_ema200,ema20_price,ema50_price,ema200_price,rsi,atr,vol_by_avg_vol,price_change_pct,high_low_pct,close_position_in_range,gap_pct,fib_pivot_distance_pct,fib_r1_distance_pct,fib_r2_distance_pct,fib_s1_distance_pct,fib_s2_distance_pct,body,range,upper_shadow,lower_shadow,is_bullish,is_bearish,body_to_range,upper_shadow_to_range,lower_shadow_to_range,is_doji,is_hammer,is_shooting_star,bb_position,nearest_support,support_strength,support_distance_pct,nearest_resistance,resistance_strength,resistance_distance_pct,target_hit,max_return,min_return,risk_reward_ratio
0,1032.0,1060.0,980.0,1007.15,8.11463,NSE:360ONE-EQ,2025-01-30,1131.1695692421667,1146.8573434084271,1013.7469993047814,0.9863210762380988,1.1313052903682395,1.1231391245019777,1.1387155273876057,1.0065501656205942,35.2056290185612,68.16428571428574,1.116976702974355,-2.061554918072634,7.943206076552649,0.3393749999999997,0.35493752127194933,-3.8489689409368686,-10.933229444455291,-14.810919968757954,4.459619699152697,10.350730116470789,24.850000000000023,80.0,28.0,27.149999999999977,0,1,0.3106249999611722,0.34999999995625003,0.33937499995757786,0,0,0,0.03846904166814058,1001.05,21,0.6056694633371418,1065.0,20,5.7439308941071365,,,,
1,742.65,754.7,727.5,740.2,1.60933,NSE:63MOONS-EQ,2025-01-30,800.6198203815737,778.9146189203184,573.648827870224,1.0278659572359057,1.3578248243131275,1.0816263447467895,1.0523029166716,0.7749916615377248,30.489626556016617,42.79285714285715,0.31182478056512763,-0.4840010755579335,3.6746825182383196,0.46691176470588325,-0.15461145469211848,-0.36254644004523545,-6.012213248578697,-9.193237983643336,6.009769550247601,10.370678676788456,2.449999999999932,27.200000000000045,12.050000000000068,12.700000000000045,0,1,0.09007352937864678,0.44301470571948165,0.4669117645342245,1,0,0,0.17854623206999534,690.75,2,6.6806268576060575,826.0,4,11.59146176708997,,,,
2,392.0,398.2,385.85,387.4,1.92714,NSE:AADHARHFC-EQ,2025-01-30,400.1333371824677,413.46214808806684,406.7416561657446,0.9677629234810629,1.0165227530066006,1.0328687072340417,1.0672745175221137,1.0499268357401772,34.81418197351557,19.864285714285703,0.28040155591042376,-2.5286199521952475,3.1879194630872396,0.1255060728744906,-1.371241665618314,2.708673942821786,-2.6638872301418774,-5.710968665244734,8.708971062386524,12.779437694261162,4.600000000000023,12.349999999999966,6.199999999999989,1.5499999999999545,0,1,0.37246963532593835,0.5020242910914787,0.12550607277286624,0,0,0,0.26253252039424674,385.0,18,0.6195147134744392,393.1,10,1.4713474445018189,,,,
3,431.8,441.95,428.4,438.0,21.79795,NSE:AARTIIND-EQ,2025-01-30,429.1609025773231,441.0753338386805,531.7197260757886,0.9729877634333662,0.8295259931278379,0.9798194122769934,1.0070213101339738,1.213971977341983,55.74002119392441,17.36428571428572,1.0933548301089322,2.360364571161492,3.0936073059360756,0.7084870848708498,0.9114279037158295,2.118532104387828,-1.9004730278560904,-4.229080540865179,6.4809112302515945,9.367301008110154,6.199999999999989,13.550000000000011,3.9499999999999886,3.400000000000034,1,0,0.45756457530806915,0.2915129149140115,0.25092250903991187,0,0,0,0.6772791894034579,438.0,14,0.0,438.0,16,0.0,,,,
4,597.45,605.8,583.15,586.9,5.86925,NSE:AARTIPHARM-EQ,2025-01-30,629.4673203864749,634.6698637605176,601.7377658224339,0.9918027565650953,1.0547283215522851,1.0725290856815044,1.0813935317098613,1.025281591109957,21.29951355107717,25.917857142857127,1.2876498120800233,-0.06810829218456961,3.8592605213835367,0.16556291390728495,1.7282479141835676,-2.66406470266295,-6.737975981546109,-9.088717009807223,1.7820206832488874,4.737692666761334,10.550000000000068,22.649999999999977,8.349999999999909,3.75,0,1,0.46578366425352064,0.36865342147078956,0.16556291383418872,0,0,0,0.04084460707272629,581.85,21,0.8604532288294352,602.6,20,2.6750724143806517,,,,
5,176.54,177.68,175.25,177.18,25.57549,NSE:ABCAPITAL-EQ,2025-01-30,175.69019979227548,183.99135518944038,198.908684527687,0.9548829052940129,0.9250041325562625,0.9915916005885285,1.0384431379921006,1.1226362147403035,61.68338634695375,5.429285714285718,0.8214679499731974,0.3625240738642884,1.3714866237724386,0.7942386831275726,0.0,3.8180284066938492,0.4412430632731034,-1.5373247894539348,7.429764411219643,9.789440731919692,0.6400000000000148,2.430000000000007,0.5,1.289999999999992,1,0,0.26337448451286755,0.20576131602567302,0.5308641953462331,0,0,0,0.640767494285858,173.45,56,2.10520374760132,178.75,50,0.8861045264702524,,,,
6,419.0,419.7,392.35,394.4,13.99461,NSE:ABDL-EQ,2025-01-30,397.77976937271654,386.82028184927873,349.44146974687686,1.0283322463626872,1.1069673045087574,1.0085693949612489,0.9807816476908691,0.8860077833338663,43.235097119892814,19.52142857142856,1.781967483936188,1.2970335174007843,6.9345841784989775,0.07495429616087594,7.615256196224471,1.8516127366164707,-4.156949313752585,-7.527223080492362,8.663937761792873,13.347632071976893,24.600000000000023,27.349999999999966,0.6999999999999886,2.0499999999999545,0,1,0.899451553601665,0.02559414989923393,0.07495429613347035,0,0,0,0.3550536221307527,383.3,8,2.8144016227180444,444.4,3,12.677484787018257,,,,
7,268.05,269.0,262.9,265.7,17.19199,NSE:ABFRL-EQ,2025-01-30,274.12074211577146,284.58822645626583,291.1012142144157,0.9632188426385835,0.9776263806534569,1.031692668858756,1.071088545187301,1.095601107318087,44.801980198019784,11.217857142857143,0.5529696717637408,-0.6357516828720975,2.2958223560406563,0.4590163934426231,0.24308152580405168,-1.7139334155363721,-5.093494397765768,-7.067661178322828,1.9152028689174347,4.294346882657544,2.3500000000000227,6.100000000000023,0.9499999999999886,2.8000000000000114,0,1,0.3852459010077959,0.15573770466272263,0.4590163926901372,0,0,0,0.2512361072461288,265.5,31,0.07527286413247596,276.95,18,4.2340986074520135,,,,
8,652.0,664.3,641.7,654.7,4.55031,NSE:ABSLAMC-EQ,2025-01-30,723.4298382691636,763.164700914616,703.9854820107076,0.947934092604346,1.0840631240503456,1.1049791328381908,1.165670843003843,1.075279489859031,29.331602855288793,35.28928571428571,1.1334486864697964,-0.3804017041996348,3.451962731021828,0.5752212389380554,-0.7912355447352473,-0.30860124455633126,-7.865122156934665,-11.986678580422785,8.598170733730177,14.942596002027203,2.7000000000000455,22.59999999999991,9.599999999999909,10.299999999999955,1,0,0.11946902649581266,0.42477876087398936,0.45575221218772005,0,0,0,0.1515231646586409,616.2,4,5.8805559798380935,667.55,17,1.9627310218420508,,,,
9,2003.95,2012.0,1951.15,1993.5,4.84441,NSE:ACC-EQ,2025-01-30,2016.9042322712996,2088.571767167384,2265.4896501201492,0.9656858643678387,0.9219074415354834,1.011740272019714,1.047690878940248,1.1364382493705287,57.778054552248115,63.37857142857144,1.148405910916751,-0.41960137869024877,3.0524203661901135,0.6959737058340176,0.1024027174184502,-1.0046033976749735,-3.363886859107716,-4.76607231969401,1.472762491228328,3.066218714219563,10.450000000000045,60.84999999999991,8.049999999999955,42.34999999999991,0,1,0.17173377154121156,0.1322925225748076,0.6959737057196423,0,0,0,0.5003069433504532,1965.25,41,1.417105593177828,2052.5,54,2.959618760973163,,,,
