symbol,date,close,prediction,probability,confidence
NSE:APOLLOTYRE-EQ,2025-01-30,432.8,1.0,0.59,0.59
NSE:APTECHT-BE,2025-01-30,159.41,1.0,0.62,0.62
NSE:APTUS-EQ,2025-01-30,296.9,1.0,0.62,0.62
NSE:ARE&M-EQ,2025-01-30,1027.8,1.0,0.61,0.61
NSE:ARIHANTCAP-EQ,2025-01-30,91.49,0.0,0.5,0.5
NSE:ARIHANTSUP-EQ,2025-01-30,484.25,1.0,0.56,0.56
NSE:ARKADE-EQ,2025-01-30,155.27,1.0,0.6,0.6
NSE:ARTEMISMED-EQ,2025-01-30,306.0,1.0,0.56,0.56
NSE:ARVIND-EQ,2025-01-30,334.8,1.0,0.55,0.55
NSE:ARVINDFASN-EQ,2025-01-30,471.05,1.0,0.56,0.56
NSE:ARVSMART-EQ,2025-01-30,763.75,1.0,0.57,0.57
NSE:ASAHIINDIA-EQ,2025-01-30,648.85,1.0,0.59,0.59
NSE:ASALCBR-EQ,2025-01-30,1293.6,1.0,0.53,0.53
NSE:ASHAPURMIN-EQ,2025-01-30,473.15,1.0,0.57,0.57
NSE:ASHIANA-EQ,2025-01-30,317.05,1.0,0.59,0.59
NSE:ASHIMASYN-BE,2025-01-30,28.53,1.0,0.59,0.59
NSE:ASHOKA-EQ,2025-01-30,247.9,1.0,0.55,0.55
NSE:ASHOKLEY-EQ,2025-01-30,105.17,1.0,0.62,0.62
NSE:ASIANENE-EQ,2025-01-30,308.85,1.0,0.55,0.55
NSE:ASIANPAINT-EQ,2025-01-30,2249.85,1.0,0.58,0.58
NSE:ASIANTILES-BE,2025-01-30,59.12,1.0,0.57,0.57
NSE:ASKAUTOLTD-EQ,2025-01-30,449.1,1.0,0.58,0.58
NSE:ASMS-EQ,2025-01-30,19.38,1.0,0.58,0.58
NSE:ASTERDM-EQ,2025-01-30,485.1,1.0,0.58,0.58
NSE:ASTRAL-EQ,2025-01-30,1467.75,1.0,0.61,0.61
NSE:ASTRAMICRO-EQ,2025-01-30,712.45,1.0,0.6,0.6
NSE:ATGL-EQ,2025-01-30,641.5,1.0,0.59,0.59
NSE:ATL-EQ,2025-01-30,32.07,1.0,0.57,0.57
NSE:AUBANK-EQ,2025-01-30,596.15,1.0,0.59,0.59
NSE:AURIONPRO-EQ,2025-01-30,1529.7,1.0,0.52,0.52
NSE:AUROPHARMA-EQ,2025-01-30,1183.15,1.0,0.61,0.61
NSE:AURUM-EQ,2025-01-30,214.59,1.0,0.53,0.53
NSE:AUTOBEES-EQ,2025-01-30,230.07,1.0,0.56,0.56
NSE:AUTOIETF-EQ,2025-01-30,23.0,1.0,0.57,0.57
NSE:AVADHSUGAR-EQ,2025-01-30,439.7,1.0,0.58,0.58
NSE:AVALON-EQ,2025-01-30,628.85,1.0,0.53,0.53
NSE:AVANTEL-EQ,2025-01-30,125.73,1.0,0.58,0.58
NSE:AVANTIFEED-EQ,2025-01-30,696.05,1.0,0.62,0.62
NSE:AVL-EQ,2025-01-30,438.2,1.0,0.54,0.54
NSE:AVONMORE-EQ,2025-01-30,23.53,1.0,0.58,0.58
NSE:AVTNPL-EQ,2025-01-30,77.3,1.0,0.51,0.51
NSE:AWFIS-EQ,2025-01-30,656.85,1.0,0.53,0.53
NSE:AWHCL-EQ,2025-01-30,595.55,1.0,0.53,0.53
NSE:AWL-EQ,2025-01-30,258.85,1.0,0.61,0.61
NSE:AXISBANK-EQ,2025-01-30,984.7,1.0,0.57,0.57
NSE:AXISGOLD-EQ,2025-01-30,68.63,1.0,0.57,0.57
NSE:AYMSYNTEX-EQ,2025-01-30,211.86,1.0,0.56,0.56
NSE:AZAD-EQ,2025-01-30,1497.15,1.0,0.52,0.52
NSE:BAJAJ-AUTO-EQ,2025-01-30,8747.8,1.0,0.6,0.6
NSE:BAJAJCON-EQ,2025-01-30,185.44,1.0,0.59,0.59
NSE:BAJAJFINSV-EQ,2025-01-30,1745.2,1.0,0.51,0.51
NSE:BAJAJHCARE-EQ,2025-01-30,641.9,1.0,0.58,0.58
NSE:BAJAJHFL-EQ,2025-01-30,114.78,1.0,0.6,0.6
NSE:BAJAJHIND-EQ,2025-01-30,27.39,1.0,0.59,0.59
NSE:BAJAJHLDNG-EQ,2025-01-30,11206.05,1.0,0.52,0.52
NSE:BAJEL-BE,2025-01-30,226.35,1.0,0.62,0.62
NSE:BAJFINANCE-EQ,2025-01-30,790.17,0.0,0.5,0.5
NSE:BALAJEE-EQ,2025-01-30,66.17,1.0,0.62,0.62
NSE:BALAMINES-EQ,2025-01-30,1682.7,1.0,0.59,0.59
NSE:BALKRISHNA-EQ,2025-01-30,22.89,1.0,0.59,0.59
NSE:BALKRISIND-EQ,2025-01-30,2764.7,1.0,0.56,0.56
NSE:BALMLAWRIE-EQ,2025-01-30,190.78,1.0,0.58,0.58
NSE:BALRAMCHIN-EQ,2025-01-30,470.2,1.0,0.54,0.54
NSE:BALUFORGE-BE,2025-01-30,562.35,1.0,0.54,0.54
NSE:BANCOINDIA-EQ,2025-01-30,445.25,1.0,0.59,0.59
NSE:BANDHANBNK-EQ,2025-01-30,148.25,1.0,0.57,0.57
NSE:BANKBARODA-EQ,2025-01-30,222.39,1.0,0.59,0.59
NSE:BANKBEES-EQ,2025-01-30,506.44,1.0,0.55,0.55
